"country","industry","user_type","user_count","time_used"
"Central African Republic","Tech","Researcher","12","34"
"Portugal","Retail","Startup Founder","12","39"
"Papua New Guinea","Education","Junior Dev","12","27"
"Estonia","Retail","Teacher","12","32"
"Saudi Arabia","Education","Marketer","12","30"
"Kenya","Legal","Startup Founder","12","33"
"Nepal","Media","Content Creator","12","27"
"Poland","Manufacturing","Student","12","23"
"Namibia","Healthcare","Junior Dev","12","32"
"Equatorial Guinea","Legal","Teacher","12","30"
"Honduras","Education","Teacher","12","31"
"Uganda","Finance","Business Owner","12","30"
"Algeria","Retail","Junior Dev","12","27"
"Kenya","Media","Government Worker","12","22"
"San Marino","Legal","Teacher","12","35"
"Colombia","Manufacturing","Senior Developer","12","30"
"Netherlands","Education","Senior Developer","12","27"
"Honduras","Energy","Content Creator","12","38"
"Czech Republic","Agriculture","DevOps Engineer","12","37"
"Zambia","Energy","Researcher","12","29"
"Kazakhstan","Education","Marketer","12","33"
"Myanmar","Transportation","Business Owner","12","23"
"Laos","Legal","Content Creator","12","27"
"Colombia","Transportation","Non-Tech User","12","27"
"Thailand","Energy","Government Worker","12","32"
"Qatar","Government","Lawyer","12","31"
"France","Transportation","Non-Tech User","12","36"
"Ivory Coast","Energy","Freelancer","12","31"
"Laos","Retail","Business Owner","12","26"
"Ivory Coast","Healthcare","Government Worker","12","34"
"Guinea","Finance","Researcher","12","29"
"UAE","Finance","Freelancer","12","37"
"UK","Manufacturing","DevOps Engineer","12","34"
"Angola","Government","DevOps Engineer","12","32"
"Kenya","Agriculture","Freelancer","12","24"
"Central African Republic","Retail","Researcher","12","31"
"Lithuania","Tech","Government Worker","12","21"
"Congo","Healthcare","Content Creator","12","37"
"Romania","Retail","Data Analyst","12","27"
"Angola","Government","Lawyer","12","36"
"Sudan","Media","Startup Founder","12","33"
"Israel","Tech","Data Analyst","12","41"
"Madagascar","Energy","Junior Dev","12","28"
"Burkina Faso","Government","Content Creator","12","32"
"Niger","Healthcare","Designer","12","32"
"Somalia","Healthcare","ML Engineer","12","28"
"Greece","Manufacturing","Freelancer","12","30"
"South Korea","Education","Non-Tech User","12","39"
"Greece","Healthcare","Student","12","32"
"Serbia","Education","Teacher","12","29"
"Brunei","Manufacturing","Content Creator","12","33"
"Paraguay","Government","Junior Dev","12","24"
"Colombia","Education","Cybersecurity Analyst","12","38"
"Greece","Retail","Student","12","38"
"Dominican Republic","Media","Data Analyst","12","30"
"Ghana","Manufacturing","Government Worker","12","36"
"Brazil","Healthcare","Teacher","12","27"
"Sudan","Transportation","Designer","12","23"
"Nicaragua","Finance","DevOps Engineer","12","34"
"Sudan","Manufacturing","Researcher","12","34"
"DR Congo","Legal","ML Engineer","12","39"
"Bolivia","Finance","Student","12","34"
"Austria","Transportation","Content Creator","12","40"
"Vanuatu","Government","Doctor","12","42"
"Lebanon","Media","Startup Founder","12","41"
"Cambodia","Finance","Non-Tech User","12","20"
"Uganda","Transportation","Business Owner","12","20"
"Micronesia","Finance","Business Owner","12","38"
"Afghanistan","Manufacturing","Lawyer","12","31"
"Singapore","Manufacturing","Content Creator","12","35"
"Botswana","Energy","Doctor","12","45"
"San Marino","Government","Freelancer","12","38"
"Iraq","Retail","Student","12","36"
"Germany","Energy","Doctor","12","32"
"Somalia","Education","Doctor","12","34"
"Yemen","Legal","Business Owner","12","31"
"Angola","Agriculture","Junior Dev","12","26"
"South Africa","Energy","DevOps Engineer","12","33"
"Colombia","Government","Senior Developer","12","32"
"Gambia","Agriculture","Non-Tech User","12","34"
"UAE","Agriculture","ML Engineer","12","33"
"Algeria","Legal","Lawyer","12","42"
"France","Retail","ML Engineer","12","21"
"Cuba","Healthcare","Data Analyst","12","32"
"Serbia","Transportation","DevOps Engineer","12","24"
"Kazakhstan","Energy","Non-Tech User","12","38"
"Iraq","Energy","Data Analyst","12","28"
"Mexico","Energy","Cybersecurity Analyst","12","26"
"Spain","Finance","Marketer","12","24"
"Togo","Finance","Government Worker","11","24"
"Brunei","Tech","Senior Developer","11","21"
"Honduras","Energy","DevOps Engineer","11","31"
"UAE","Finance","Marketer","11","35"
"Uruguay","Finance","Business Owner","11","41"
"Seychelles","Retail","Junior Dev","11","40"
"Netherlands","Manufacturing","Researcher","11","31"
"Timor-Leste","Transportation","Researcher","11","30"
"Mauritius","Retail","Designer","11","38"
"Mali","Tech","Senior Developer","11","26"
"Cape Verde","Energy","Researcher","11","27"
"Kosovo","Government","Freelancer","11","30"
"Mauritius","Finance","Researcher","11","32"
"Seychelles","Education","Student","11","37"
"Myanmar","Tech","Non-Tech User","11","34"
"San Marino","Media","Doctor","11","30"
"Norway","Media","DevOps Engineer","11","28"
"Kyrgyzstan","Manufacturing","Business Owner","11","37"
"Nigeria","Education","Product Manager","11","21"
"Denmark","Legal","Cybersecurity Analyst","11","33"
"Ireland","Finance","Government Worker","11","35"
"Vietnam","Media","Marketer","11","28"
"Haiti","Energy","Lawyer","11","26"
"Ukraine","Healthcare","Teacher","11","26"
"Gabon","Agriculture","Government Worker","11","40"
"Bulgaria","Finance","Researcher","11","25"
"Sweden","Healthcare","Researcher","11","39"
"South Africa","Media","Content Creator","11","29"
"Cape Verde","Government","Freelancer","11","32"
"Gambia","Media","Junior Dev","11","29"
"Bulgaria","Legal","Freelancer","11","35"
"Azerbaijan","Tech","Researcher","11","29"
"Colombia","Manufacturing","Government Worker","11","33"
"Cape Verde","Manufacturing","Product Manager","11","19"
"Georgia","Transportation","DevOps Engineer","11","33"
"Brunei","Legal","Junior Dev","11","26"
"Colombia","Education","Lawyer","11","32"
"Austria","Manufacturing","Content Creator","11","32"
"Costa Rica","Retail","Student","11","27"
"Panama","Manufacturing","Data Analyst","11","26"
"Bangladesh","Government","Researcher","11","34"
"Tanzania","Education","Cybersecurity Analyst","11","24"
"Pakistan","Energy","Lawyer","11","21"
"South Korea","Agriculture","Marketer","11","34"
"Syria","Energy","Student","11","35"
"Sweden","Retail","Designer","11","25"
"Latvia","Healthcare","Doctor","11","34"
"Madagascar","Tech","ML Engineer","11","33"
"Venezuela","Energy","Senior Developer","11","30"
"Czech Republic","Media","Junior Dev","11","24"
"Honduras","Transportation","Data Analyst","11","25"
"Cape Verde","Healthcare","Student","11","30"
"Papua New Guinea","Agriculture","Teacher","11","30"
"Kuwait","Retail","Lawyer","11","24"
"Afghanistan","Agriculture","ML Engineer","11","26"
"Peru","Media","Lawyer","11","25"
"El Salvador","Legal","Researcher","11","32"
"Vanuatu","Tech","Designer","11","37"
"Liechtenstein","Education","Doctor","11","29"
"Cape Verde","Legal","Non-Tech User","11","29"
"Togo","Energy","Lawyer","11","30"
"New Zealand","Agriculture","Student","11","33"
"Congo","Finance","Content Creator","11","23"
"Bosnia and Herzegovina","Legal","Junior Dev","11","30"
"Albania","Agriculture","Lawyer","11","32"
"Malaysia","Education","Cybersecurity Analyst","11","34"
"Israel","Government","Cybersecurity Analyst","11","31"
"Switzerland","Government","Marketer","11","26"
"India","Manufacturing","Student","11","27"
"Samoa","Energy","Lawyer","11","29"
"Paraguay","Energy","Marketer","11","29"
"Djibouti","Legal","Data Analyst","11","35"
"USA","Education","Researcher","11","34"
"Congo","Agriculture","Marketer","11","33"
"Italy","Finance","Doctor","11","29"
"USA","Healthcare","Cybersecurity Analyst","11","27"
"Mongolia","Transportation","Teacher","11","35"
"Sudan","Tech","Business Owner","11","36"
"Malaysia","Education","Researcher","11","35"
"San Marino","Government","Lawyer","11","31"
"El Salvador","Manufacturing","Business Owner","11","26"
"North Macedonia","Education","Non-Tech User","11","31"
"Zambia","Media","ML Engineer","11","38"
"Cambodia","Agriculture","DevOps Engineer","11","35"
"Yemen","Retail","Data Analyst","11","29"
"Belgium","Transportation","Doctor","11","31"
"Afghanistan","Finance","Freelancer","11","29"
"Japan","Finance","Marketer","11","28"
"Kosovo","Manufacturing","Senior Developer","11","33"
"Romania","Energy","Student","11","36"
"Romania","Government","Non-Tech User","11","36"
"Kenya","Transportation","Lawyer","11","30"
"UAE","Transportation","Researcher","11","34"
"Italy","Media","Non-Tech User","11","28"
"Kiribati","Transportation","Startup Founder","11","29"
"Guinea","Media","Researcher","11","27"
"Guatemala","Finance","Freelancer","11","26"
"Eswatini","Energy","Junior Dev","11","33"
"Benin","Tech","DevOps Engineer","11","41"
"Haiti","Government","Marketer","11","29"
"Nigeria","Education","Teacher","11","28"
"Fiji","Manufacturing","DevOps Engineer","11","30"
"Yemen","Retail","ML Engineer","11","26"
"Benin","Education","Business Owner","11","30"
"Philippines","Energy","Business Owner","11","30"
"Morocco","Retail","ML Engineer","11","28"
"Burundi","Energy","Marketer","11","32"
"Romania","Tech","Student","11","32"
"Qatar","Manufacturing","Data Analyst","11","28"
"Indonesia","Healthcare","Cybersecurity Analyst","11","38"
"New Zealand","Retail","DevOps Engineer","11","29"
"Montenegro","Agriculture","Startup Founder","11","25"
"Venezuela","Media","Lawyer","11","32"
"Seychelles","Tech","Non-Tech User","11","27"
"Algeria","Agriculture","Non-Tech User","11","35"
"UK","Finance","Lawyer","11","30"
"Finland","Education","Data Analyst","11","27"
"Congo","Agriculture","Data Analyst","11","33"
"Poland","Agriculture","Doctor","11","30"
"Iceland","Transportation","Business Owner","11","30"
"Turkey","Agriculture","DevOps Engineer","11","25"
"Congo","Media","Business Owner","11","24"
"Vatican City","Government","DevOps Engineer","11","35"
"Myanmar","Government","ML Engineer","11","36"
"Qatar","Transportation","Student","11","32"
"Spain","Agriculture","Student","11","41"
"Guatemala","Finance","ML Engineer","11","26"
"Monaco","Transportation","Startup Founder","11","31"
"Comoros","Energy","DevOps Engineer","11","27"
"Sri Lanka","Media","Lawyer","11","18"
"Cyprus","Media","Junior Dev","11","34"
"Thailand","Agriculture","Junior Dev","11","26"
"Dominican Republic","Agriculture","Data Analyst","11","28"
"Albania","Finance","Marketer","11","31"
"Denmark","Manufacturing","DevOps Engineer","11","27"
"Andorra","Manufacturing","Business Owner","11","27"
"Vietnam","Legal","Product Manager","11","21"
"Ghana","Manufacturing","Non-Tech User","11","39"
"Mali","Healthcare","Non-Tech User","11","31"
"Albania","Finance","DevOps Engineer","11","29"
"Kazakhstan","Agriculture","Product Manager","11","23"
"Equatorial Guinea","Manufacturing","ML Engineer","11","19"
"Zambia","Energy","Startup Founder","11","34"
"Serbia","Energy","Teacher","11","26"
"Andorra","Government","Non-Tech User","11","33"
"Syria","Tech","Cybersecurity Analyst","11","30"
"UK","Manufacturing","Content Creator","11","21"
"Niger","Manufacturing","Non-Tech User","11","34"
"Trinidad and Tobago","Energy","Business Owner","11","36"
"Niger","Education","Lawyer","11","37"
"India","Energy","Non-Tech User","11","37"
"Nicaragua","Legal","Junior Dev","11","27"
"Rwanda","Energy","DevOps Engineer","11","38"
"Madagascar","Agriculture","Junior Dev","11","37"
"Uzbekistan","Government","Government Worker","11","24"
"Iran","Agriculture","Marketer","11","30"
"Kenya","Agriculture","Lawyer","11","27"
"Israel","Education","Researcher","11","33"
"Australia","Retail","Junior Dev","11","24"
"Australia","Healthcare","Cybersecurity Analyst","11","31"
"Singapore","Retail","Teacher","11","32"
"Ireland","Agriculture","ML Engineer","11","37"
"Comoros","Finance","Freelancer","11","34"
"Saudi Arabia","Tech","Student","11","24"
"Azerbaijan","Education","Business Owner","11","37"
"South Africa","Manufacturing","Startup Founder","11","28"
"Ethiopia","Manufacturing","Government Worker","11","25"
"India","Government","Freelancer","11","25"
"Togo","Tech","Freelancer","11","26"
"Lesotho","Transportation","Startup Founder","11","34"
"Zambia","Retail","ML Engineer","11","32"
"Honduras","Agriculture","Researcher","11","32"
"Libya","Energy","Government Worker","11","26"
"Spain","Government","Senior Developer","11","33"
"Cameroon","Retail","Student","11","36"
"Latvia","Education","Doctor","11","35"
"Malta","Agriculture","ML Engineer","11","25"
"Luxembourg","Retail","Doctor","11","25"
"Hungary","Healthcare","Data Analyst","11","27"
"France","Education","Doctor","11","35"
"Thailand","Education","DevOps Engineer","11","27"
"Iceland","Government","Researcher","11","26"
"Egypt","Legal","Senior Developer","11","28"
"Brunei","Healthcare","Senior Developer","11","26"
"Chile","Media","Startup Founder","11","36"
"Bhutan","Government","Designer","11","37"
"Ethiopia","Tech","Doctor","11","23"
"North Macedonia","Media","Product Manager","11","22"
"Cape Verde","Energy","Data Analyst","11","27"
"Philippines","Manufacturing","Senior Developer","11","36"
"Ireland","Government","Non-Tech User","11","36"
"Croatia","Legal","Product Manager","11","28"
"Ivory Coast","Media","Government Worker","11","34"
"Central African Republic","Retail","Marketer","11","28"
"Qatar","Media","Product Manager","11","23"
"Central African Republic","Media","Marketer","11","34"
"Sudan","Healthcare","Government Worker","11","30"
"Vatican City","Agriculture","Non-Tech User","11","29"
"Mongolia","Agriculture","Designer","11","29"
"Honduras","Finance","Senior Developer","11","26"
"Philippines","Retail","Government Worker","11","32"
"Bangladesh","Retail","Content Creator","11","30"
"Gabon","Media","Doctor","11","28"
"Lesotho","Manufacturing","Researcher","11","23"
"Hungary","Tech","Product Manager","11","31"
"Uruguay","Legal","DevOps Engineer","11","35"
"Bolivia","Transportation","Non-Tech User","11","31"
"India","Energy","Cybersecurity Analyst","11","26"
"Slovakia","Tech","Junior Dev","11","21"
"Madagascar","Finance","Business Owner","11","29"
"Andorra","Energy","ML Engineer","11","35"
"Botswana","Finance","Content Creator","11","27"
"Senegal","Healthcare","Researcher","11","34"
"Guatemala","Tech","Designer","11","40"
"Papua New Guinea","Finance","Product Manager","11","31"
"Gabon","Agriculture","Designer","11","33"
"Marshall Islands","Finance","Researcher","11","29"
"Norway","Education","Data Analyst","11","37"
"Moldova","Finance","Data Analyst","11","29"
"Libya","Government","Junior Dev","11","26"
"Sudan","Legal","ML Engineer","11","35"
"Philippines","Media","Junior Dev","11","28"
"Paraguay","Finance","Freelancer","11","27"
"Ethiopia","Manufacturing","Designer","11","29"
"UAE","Manufacturing","Freelancer","11","25"
"Kosovo","Education","ML Engineer","11","41"
"Algeria","Tech","Researcher","11","33"
"Burundi","Manufacturing","Non-Tech User","11","27"
"Honduras","Legal","Designer","11","26"
"Argentina","Legal","Junior Dev","11","34"
"Burundi","Energy","Student","11","31"
"Lebanon","Legal","Non-Tech User","11","38"
"Kosovo","Transportation","Marketer","11","31"
"Papua New Guinea","Energy","Doctor","11","37"
"Lesotho","Healthcare","Government Worker","11","34"
"Zambia","Agriculture","DevOps Engineer","11","31"
"Vanuatu","Tech","Marketer","10","32"
"Vatican City","Manufacturing","Designer","10","41"
"Dominican Republic","Manufacturing","Product Manager","10","35"
"Solomon Islands","Government","Product Manager","10","30"
"Argentina","Transportation","Researcher","10","32"
"Cyprus","Energy","Lawyer","10","28"
"Pakistan","Agriculture","Lawyer","10","26"
"Kuwait","Government","Senior Developer","10","36"
"Netherlands","Legal","Junior Dev","10","24"
"Togo","Education","Data Analyst","10","25"
"Malaysia","Energy","ML Engineer","10","33"
"France","Manufacturing","ML Engineer","10","35"
"Ukraine","Healthcare","Lawyer","10","34"
"Ecuador","Agriculture","DevOps Engineer","10","33"
"Latvia","Media","Startup Founder","10","30"
"Bhutan","Legal","Marketer","10","33"
"Cuba","Tech","Product Manager","10","30"
"Micronesia","Energy","Cybersecurity Analyst","10","37"
"Maldives","Retail","Senior Developer","10","23"
"Fiji","Finance","ML Engineer","10","27"
"North Macedonia","Agriculture","Non-Tech User","10","29"
"Solomon Islands","Manufacturing","Startup Founder","10","22"
"Fiji","Education","Senior Developer","10","28"
"Morocco","Energy","ML Engineer","10","36"
"Cyprus","Legal","ML Engineer","10","33"
"Lesotho","Manufacturing","Government Worker","10","27"
"Azerbaijan","Legal","ML Engineer","10","30"
"Jordan","Retail","Startup Founder","10","25"
"Ethiopia","Legal","Government Worker","10","39"
"Croatia","Media","ML Engineer","10","35"
"Croatia","Transportation","Senior Developer","10","26"
"San Marino","Education","Designer","10","21"
"Armenia","Energy","DevOps Engineer","10","27"
"Philippines","Government","Product Manager","10","18"
"Afghanistan","Education","Researcher","10","29"
"Malta","Agriculture","Data Analyst","10","37"
"Bhutan","Agriculture","Junior Dev","10","24"
"Saudi Arabia","Tech","Government Worker","10","26"
"El Salvador","Media","DevOps Engineer","10","31"
"Comoros","Media","Business Owner","10","29"
"North Macedonia","Retail","Data Analyst","10","27"
"Kosovo","Retail","Student","10","29"
"Jamaica","Finance","Student","10","28"
"Trinidad and Tobago","Healthcare","Cybersecurity Analyst","10","31"
"Sierra Leone","Legal","Marketer","10","36"
"Albania","Retail","Product Manager","10","25"
"Saudi Arabia","Transportation","Cybersecurity Analyst","10","33"
"Oman","Transportation","Student","10","25"
"Kosovo","Finance","Senior Developer","10","19"
"San Marino","Retail","Non-Tech User","10","29"
"Guinea-Bissau","Energy","Data Analyst","10","31"
"Eswatini","Energy","Senior Developer","10","23"
"Comoros","Healthcare","Content Creator","10","28"
"Mauritius","Agriculture","Business Owner","10","30"
"Brunei","Finance","Researcher","10","34"
"North Korea","Retail","Content Creator","10","34"
"Colombia","Education","ML Engineer","10","36"
"Philippines","Legal","Non-Tech User","10","32"
"Eritrea","Energy","DevOps Engineer","10","31"
"Canada","Media","Non-Tech User","10","33"
"Japan","Tech","Researcher","10","35"
"Venezuela","Agriculture","Non-Tech User","10","35"
"Chile","Government","Product Manager","10","25"
"Laos","Government","Freelancer","10","24"
"Benin","Energy","ML Engineer","10","36"
"Marshall Islands","Energy","Government Worker","10","30"
"Albania","Legal","Junior Dev","10","39"
"Uzbekistan","Manufacturing","Doctor","10","26"
"Uruguay","Agriculture","Senior Developer","10","29"
"Brazil","Legal","Product Manager","10","27"
"Rwanda","Retail","Teacher","10","25"
"Iraq","Agriculture","Designer","10","22"
"Sudan","Finance","Doctor","10","32"
"France","Education","Startup Founder","10","30"
"Solomon Islands","Finance","Product Manager","10","29"
"El Salvador","Tech","Business Owner","10","27"
"Bosnia and Herzegovina","Transportation","Freelancer","10","25"
"Madagascar","Retail","Lawyer","10","27"
"Uganda","Transportation","Student","10","25"
"Comoros","Tech","Doctor","10","22"
"Trinidad and Tobago","Government","Student","10","21"
"Madagascar","Government","Student","10","22"
"Bolivia","Energy","Designer","10","24"
"Guinea-Bissau","Government","Doctor","10","30"
"Mauritius","Manufacturing","Freelancer","10","25"
"Tanzania","Finance","Junior Dev","10","16"
"Monaco","Retail","Freelancer","10","28"
"Armenia","Transportation","DevOps Engineer","10","23"
"Belgium","Media","Content Creator","10","23"
"Norway","Retail","Content Creator","10","28"
"Bulgaria","Agriculture","Cybersecurity Analyst","10","23"
"Bosnia and Herzegovina","Education","Startup Founder","10","18"
"San Marino","Healthcare","Content Creator","10","36"
"Argentina","Retail","Content Creator","10","27"
"Panama","Energy","Government Worker","10","42"
"Ivory Coast","Retail","Junior Dev","10","41"
"Cambodia","Tech","Startup Founder","10","23"
"Switzerland","Legal","DevOps Engineer","10","39"
"Paraguay","Manufacturing","DevOps Engineer","10","30"
"Liberia","Retail","Business Owner","10","18"
"El Salvador","Tech","Designer","10","26"
"Tonga","Legal","Data Analyst","10","30"
"Qatar","Manufacturing","Non-Tech User","10","31"
"Guinea","Finance","ML Engineer","10","33"
"Honduras","Media","Content Creator","10","28"
"Philippines","Energy","Student","10","36"
"Bangladesh","Media","Designer","10","23"
"Paraguay","Retail","Student","10","33"
"Pakistan","Finance","Junior Dev","10","27"
"Cuba","Tech","Non-Tech User","10","26"
"Jordan","Legal","Designer","10","34"
"Mongolia","Energy","Student","10","29"
"Botswana","Manufacturing","Product Manager","10","32"
"Iran","Media","Researcher","10","38"
"Philippines","Healthcare","Cybersecurity Analyst","10","37"
"Micronesia","Healthcare","DevOps Engineer","10","16"
"Canada","Finance","Non-Tech User","10","28"
"Ethiopia","Energy","Doctor","10","30"
"Israel","Retail","Designer","10","22"
"Namibia","Retail","Student","10","36"
"Slovenia","Energy","Non-Tech User","10","36"
"Sri Lanka","Tech","Startup Founder","10","33"
"Moldova","Finance","Startup Founder","10","29"
"Togo","Transportation","ML Engineer","10","26"
"Romania","Healthcare","Cybersecurity Analyst","10","27"
"Fiji","Healthcare","Student","10","35"
"Egypt","Transportation","Teacher","10","37"
"Bangladesh","Transportation","Product Manager","10","27"
"Botswana","Energy","Cybersecurity Analyst","10","38"
"Saudi Arabia","Healthcare","Government Worker","10","32"
"Eswatini","Healthcare","Startup Founder","10","24"
"Malaysia","Retail","Teacher","10","23"
"Finland","Manufacturing","Non-Tech User","10","31"
"Gabon","Energy","Startup Founder","10","30"
"Liberia","Transportation","Doctor","10","42"
"Sweden","Finance","Student","10","34"
"Cape Verde","Government","Non-Tech User","10","29"
"Guatemala","Government","DevOps Engineer","10","31"
"Ivory Coast","Transportation","Marketer","10","25"
"Mauritius","Retail","Junior Dev","10","25"
"Ghana","Tech","Cybersecurity Analyst","10","27"
"Switzerland","Media","Marketer","10","35"
"Papua New Guinea","Transportation","Content Creator","10","40"
"Pakistan","Government","Doctor","10","36"
"Chad","Tech","Student","10","29"
"Nigeria","Retail","Marketer","10","26"
"Hungary","Agriculture","ML Engineer","10","38"
"Iran","Retail","Non-Tech User","10","28"
"Gambia","Energy","Student","10","29"
"South Africa","Media","Senior Developer","10","31"
"Peru","Education","Senior Developer","10","23"
"Norway","Government","Lawyer","10","28"
"Niger","Finance","Marketer","10","39"
"Saudi Arabia","Government","Lawyer","10","28"
"Colombia","Energy","Business Owner","10","33"
"Zimbabwe","Manufacturing","Researcher","10","28"
"Ghana","Transportation","ML Engineer","10","23"
"Guinea-Bissau","Healthcare","Cybersecurity Analyst","10","25"
"Djibouti","Tech","Lawyer","10","33"
"Morocco","Education","DevOps Engineer","10","35"
"Italy","Finance","Startup Founder","10","35"
"Qatar","Education","ML Engineer","10","32"
"Equatorial Guinea","Media","Doctor","10","25"
"Togo","Media","Startup Founder","10","31"
"Maldives","Manufacturing","Senior Developer","10","30"
"Monaco","Healthcare","ML Engineer","10","31"
"Mauritius","Legal","Cybersecurity Analyst","10","27"
"Vietnam","Transportation","Junior Dev","10","24"
"Niger","Agriculture","Freelancer","10","26"
"Palau","Energy","Designer","10","28"
"China","Manufacturing","ML Engineer","10","23"
"Ireland","Legal","Senior Developer","10","30"
"Guatemala","Healthcare","Product Manager","10","30"
"Greece","Transportation","Business Owner","10","31"
"Mexico","Agriculture","Business Owner","10","29"
"Gabon","Government","Government Worker","10","23"
"Mongolia","Transportation","Researcher","10","32"
"DR Congo","Healthcare","Business Owner","10","42"
"Georgia","Retail","Content Creator","10","33"
"Georgia","Agriculture","Cybersecurity Analyst","10","30"
"Bulgaria","Manufacturing","Product Manager","10","34"
"Azerbaijan","Healthcare","Cybersecurity Analyst","10","38"
"Botswana","Tech","Researcher","10","23"
"Malaysia","Transportation","Researcher","10","30"
"Zambia","Retail","Marketer","10","40"
"Albania","Manufacturing","DevOps Engineer","10","32"
"Jamaica","Tech","Designer","10","20"
"Uganda","Government","Junior Dev","10","38"
"Burundi","Manufacturing","Freelancer","10","25"
"Luxembourg","Legal","Designer","10","29"
"Micronesia","Media","Data Analyst","10","26"
"Liechtenstein","Legal","Business Owner","10","29"
"Eswatini","Healthcare","Business Owner","10","31"
"Bolivia","Education","Doctor","10","36"
"Afghanistan","Transportation","Cybersecurity Analyst","10","35"
"Georgia","Government","Product Manager","10","30"
"Philippines","Healthcare","Doctor","10","36"
"Papua New Guinea","Agriculture","Cybersecurity Analyst","10","28"
"Ireland","Government","Junior Dev","10","29"
"Tanzania","Agriculture","Startup Founder","10","29"
"Mauritius","Legal","Researcher","10","33"
"Ireland","Agriculture","Doctor","10","29"
"Burkina Faso","Tech","Lawyer","10","30"
"Slovakia","Retail","DevOps Engineer","10","38"
"Mozambique","Education","Content Creator","10","31"
"Egypt","Agriculture","Government Worker","10","15"
"New Zealand","Manufacturing","Designer","10","34"
"Zimbabwe","Education","ML Engineer","10","45"
"Poland","Legal","Cybersecurity Analyst","10","25"
"Vietnam","Retail","DevOps Engineer","10","35"
"Burundi","Education","Lawyer","10","32"
"New Zealand","Education","Marketer","10","25"
"Mongolia","Retail","Content Creator","10","27"
"Portugal","Healthcare","Freelancer","10","37"
"Canada","Government","Business Owner","10","28"
"Myanmar","Transportation","Cybersecurity Analyst","10","30"
"Ivory Coast","Agriculture","DevOps Engineer","10","37"
"Azerbaijan","Transportation","Senior Developer","10","21"
"Libya","Energy","Junior Dev","10","29"
"Kenya","Media","Doctor","10","26"
"Ukraine","Legal","ML Engineer","10","27"
"Turkmenistan","Healthcare","Product Manager","10","33"
"South Africa","Energy","Lawyer","10","23"
"Kyrgyzstan","Energy","Government Worker","10","33"
"Netherlands","Legal","Startup Founder","10","30"
"Zambia","Government","Startup Founder","10","36"
"Lesotho","Government","Startup Founder","10","25"
"Austria","Finance","Government Worker","10","32"
"Belarus","Media","Startup Founder","10","30"
"Malta","Legal","Marketer","10","25"
"Iran","Legal","Student","10","32"
"Laos","Education","Doctor","10","24"
"Paraguay","Tech","ML Engineer","10","27"
