"ai_tool","primary_use_case","total_users","avg_productivity_gain_pct","rate_productivity","avg_hours_saved_weekly","user_level"
"BloombergGPT","Video Creation","351","79.03","0.18","8.63","Intermediate"
"AlphaFold","Research","352","79.03","0.18","10.77","Intermediate"
"Devin","Design","357","79.01","0.18","9.31","Intermediate"
"Devin","Translation","406","79.00","0.21","9.24","Expert"
"Falcon","Design","379","78.98","0.19","9.69","Intermediate"
"Duolingo Max","Automation","381","78.97","0.19","9.89","Intermediate"
"Codeium","Research","348","78.95","0.18","7.80","Intermediate"
"Tesla Optimus","Video Creation","344","78.94","0.18","8.42","Intermediate"
"Qwen","Design","355","78.94","0.18","9.43","Intermediate"
"Khanmigo","Research","353","78.93","0.18","10.35","Intermediate"
"Synthesia","Marketing","380","78.91","0.19","10.04","Intermediate"
"Grok","Automation","353","78.91","0.18","8.48","Intermediate"
"Stable Diffusion","Coding","336","78.89","0.17","10.54","Intermediate"
"Whisper","Automation","365","78.89","0.19","11.51","Intermediate"
"Jasper","Customer Support","339","78.86","0.17","9.86","Intermediate"
"Runway ML","Research","407","78.81","0.21","9.72","Expert"
"Microsoft Copilot","Research","320","78.76","0.16","9.36","Beginner"
"Microsoft Copilot","Video Creation","353","78.75","0.18","9.32","Intermediate"
"Claude","Video Creation","371","78.75","0.19","9.54","Intermediate"
"BloombergGPT","Automation","362","78.73","0.18","8.04","Intermediate"
"Cursor AI","Translation","342","78.72","0.17","9.66","Intermediate"
"LangChain","Marketing","348","78.71","0.18","9.56","Intermediate"
"GPT-4","Translation","374","78.70","0.19","9.09","Intermediate"
"DataRobot","Design","374","78.70","0.19","10.46","Intermediate"
"Canva AI","Design","363","78.69","0.18","9.54","Intermediate"
"DeepSeek","Content Writing","351","78.69","0.18","11.19","Intermediate"
"Cohere","Research","393","78.69","0.20","9.33","Intermediate"
"Power BI Copilot","Content Writing","379","78.68","0.19","9.12","Intermediate"
"Copy.ai","Data Analysis","342","78.63","0.17","10.37","Intermediate"
"GrammarlyGO","Automation","324","78.60","0.16","10.65","Beginner"
"GPT-5","Design","370","78.60","0.19","10.10","Intermediate"
"Cursor AI","Automation","389","78.59","0.20","8.76","Intermediate"
"LLaMA","Data Analysis","374","78.55","0.19","9.48","Intermediate"
"Devin","Coding","366","78.55","0.19","9.99","Intermediate"
"Tesla Optimus","Learning","360","78.52","0.18","9.79","Intermediate"
"Codeium","Content Writing","341","78.50","0.17","9.73","Intermediate"
"DALL-E","Customer Support","349","78.49","0.18","9.23","Intermediate"
"LangChain","Video Creation","309","78.47","0.16","9.98","Beginner"
"DeepSeek","Research","364","78.41","0.18","11.53","Intermediate"
"Cursor AI","Learning","404","78.41","0.20","10.09","Intermediate"
"AlphaFold","Video Creation","369","78.40","0.19","8.80","Intermediate"
"AutoGPT","Design","345","78.37","0.17","9.10","Intermediate"
"Gemini","Translation","394","78.36","0.20","10.19","Intermediate"
"AlphaFold","Design","370","78.36","0.19","10.42","Intermediate"
"Tesla Optimus","Design","379","78.35","0.19","8.74","Intermediate"
"DeepSeek","Coding","368","78.34","0.19","10.64","Intermediate"
"Boston Dynamics AI","Marketing","409","78.34","0.21","9.75","Expert"
"DeepSeek","Marketing","419","78.33","0.21","8.09","Expert"
"HeyGen","Learning","358","78.32","0.18","8.92","Intermediate"
"Deepgram","Data Analysis","368","78.28","0.19","10.43","Intermediate"
"GPT-4","Data Analysis","370","78.28","0.19","7.91","Intermediate"
"Midjourney","Learning","363","78.28","0.18","8.36","Intermediate"
"GPT-4","Content Writing","367","78.27","0.19","9.57","Intermediate"
"Tabnine","Design","393","78.26","0.20","10.00","Intermediate"
"AutoGPT","Coding","349","78.26","0.18","11.28","Intermediate"
"IBM Watson","Design","335","78.25","0.17","9.53","Intermediate"
"Runway ML","Coding","362","78.25","0.18","9.63","Intermediate"
"Cohere","Automation","346","78.25","0.17","11.52","Intermediate"
"PyTorch","Data Analysis","365","78.21","0.18","8.54","Intermediate"
"Perplexity AI","Automation","404","78.21","0.20","9.48","Intermediate"
"LangChain","Content Writing","346","78.20","0.17","10.35","Intermediate"
"Khanmigo","Video Creation","368","78.19","0.19","9.68","Intermediate"
"Stable Diffusion","Research","347","78.18","0.17","9.52","Intermediate"
"Notion AI","Translation","343","78.16","0.17","8.75","Intermediate"
"HeyGen","Coding","359","78.16","0.18","9.34","Intermediate"
"Duolingo Max","Coding","386","78.15","0.19","10.40","Intermediate"
"PyTorch","Marketing","341","78.15","0.17","9.79","Intermediate"
"Deepgram","Research","362","78.14","0.18","10.10","Intermediate"
"Canva AI","Research","400","78.14","0.20","10.91","Intermediate"
"Tabnine","Research","369","78.13","0.19","9.72","Intermediate"
"Khanmigo","Coding","365","78.12","0.18","9.65","Intermediate"
"Falcon","Content Writing","341","78.11","0.17","8.74","Intermediate"
"Cohere","Learning","348","78.10","0.18","8.94","Intermediate"
"Whisper","Design","390","78.07","0.20","9.51","Intermediate"
"Kensho","Automation","341","78.04","0.17","8.83","Intermediate"
"GPT-5","Research","364","78.03","0.18","7.86","Intermediate"
"Elicit","Automation","362","78.03","0.18","8.86","Intermediate"
"Cohere","Marketing","378","78.03","0.19","11.52","Intermediate"
"Perplexity AI","Marketing","337","78.01","0.17","10.26","Intermediate"
"IBM Watson","Content Writing","354","78.00","0.18","8.89","Intermediate"
"Hugging Face","Data Analysis","357","77.97","0.18","9.84","Intermediate"
"Qwen","Marketing","336","77.97","0.17","10.05","Intermediate"
"Synthesia","Coding","354","77.97","0.18","10.27","Intermediate"
"Tesla Optimus","Content Writing","338","77.96","0.17","10.01","Intermediate"
"LLaMA","Marketing","358","77.95","0.18","9.49","Intermediate"
"Tableau AI","Translation","380","77.95","0.19","9.09","Intermediate"
"Figma AI","Learning","355","77.92","0.18","9.78","Intermediate"
"Hugging Face","Video Creation","362","77.92","0.18","8.86","Intermediate"
"GrammarlyGO","Research","390","77.91","0.20","9.00","Intermediate"
"Stable Diffusion","Design","381","77.89","0.19","10.39","Intermediate"
"Devin","Customer Support","359","77.89","0.18","8.10","Intermediate"
"Canva AI","Marketing","339","77.89","0.17","9.79","Intermediate"
"Elicit","Learning","368","77.89","0.18","8.19","Intermediate"
"Power BI Copilot","Data Analysis","394","77.88","0.20","10.21","Intermediate"
"PyTorch","Learning","364","77.87","0.18","9.56","Intermediate"
"Claude","Learning","386","77.87","0.19","9.43","Intermediate"
"GitHub Copilot","Video Creation","340","77.86","0.17","7.14","Intermediate"
"Microsoft Copilot","Design","345","77.85","0.17","11.37","Intermediate"
"Duolingo Max","Design","397","77.83","0.20","9.35","Intermediate"
"Deepgram","Learning","332","77.83","0.17","9.35","Intermediate"
"AutoGPT","Video Creation","378","77.82","0.19","9.45","Intermediate"
"AlphaFold","Data Analysis","363","77.81","0.18","9.24","Intermediate"
"Figma AI","Research","365","77.80","0.18","10.19","Intermediate"
"Tesla Optimus","Translation","339","77.80","0.17","8.31","Intermediate"
"PyTorch","Content Writing","348","77.79","0.17","10.00","Intermediate"
"Tesla Optimus","Research","386","77.79","0.19","11.50","Intermediate"
"LLaMA","Design","395","77.78","0.20","9.43","Intermediate"
"Tableau AI","Automation","357","77.76","0.18","8.93","Intermediate"
"AlphaFold","Customer Support","369","77.75","0.18","7.86","Intermediate"
"Jasper","Coding","376","77.74","0.19","8.52","Intermediate"
"Perplexity AI","Learning","384","77.73","0.19","10.38","Intermediate"
"Deepgram","Video Creation","375","77.73","0.19","10.72","Intermediate"
"Gemini","Learning","360","77.72","0.18","9.07","Intermediate"
"TensorFlow","Coding","367","77.71","0.18","9.42","Intermediate"
"Boston Dynamics AI","Automation","370","77.70","0.19","10.77","Intermediate"
"AutoGPT","Content Writing","357","77.69","0.18","8.89","Intermediate"
"Midjourney","Design","332","77.68","0.17","11.04","Intermediate"
"Cohere","Customer Support","381","77.68","0.19","8.10","Intermediate"
"Cohere","Content Writing","347","77.68","0.17","8.78","Intermediate"
"Mistral","Data Analysis","365","77.67","0.18","8.45","Intermediate"
"Khanmigo","Data Analysis","371","77.65","0.19","10.26","Intermediate"
"Tabnine","Customer Support","362","77.65","0.18","9.03","Intermediate"
"Jasper","Design","407","77.61","0.20","9.07","Intermediate"
"DeepSeek","Design","352","77.59","0.18","8.55","Intermediate"
"Canva AI","Customer Support","391","77.58","0.20","8.03","Intermediate"
"HeyGen","Translation","373","77.57","0.19","11.04","Intermediate"
"Qwen","Data Analysis","336","77.56","0.17","9.33","Intermediate"
"HeyGen","Video Creation","365","77.56","0.18","9.23","Intermediate"
"Perplexity AI","Customer Support","374","77.53","0.19","9.33","Intermediate"
"Elicit","Customer Support","370","77.52","0.18","9.36","Intermediate"
"Runway ML","Video Creation","362","77.52","0.18","9.45","Intermediate"
"Notion AI","Customer Support","354","77.51","0.18","9.29","Intermediate"
"Qwen","Customer Support","350","77.50","0.17","9.66","Intermediate"
"GPT-4","Video Creation","380","77.48","0.19","10.48","Intermediate"
"GPT-5","Video Creation","351","77.47","0.18","9.19","Intermediate"
"IBM Watson","Automation","387","77.47","0.19","9.52","Intermediate"
"Khanmigo","Automation","322","77.44","0.16","9.11","Beginner"
"Midjourney","Research","379","77.43","0.19","9.34","Intermediate"
"LangChain","Research","375","77.42","0.19","10.50","Intermediate"
"Mistral","Automation","390","77.42","0.19","10.75","Intermediate"
"Gemini","Content Writing","346","77.41","0.17","9.35","Intermediate"
"Tabnine","Coding","399","77.40","0.20","9.43","Intermediate"
"Elicit","Translation","360","77.39","0.18","9.20","Intermediate"
"Tableau AI","Customer Support","350","77.39","0.17","9.46","Intermediate"
"Stable Diffusion","Learning","349","77.39","0.17","8.72","Intermediate"
"Midjourney","Video Creation","370","77.38","0.18","10.47","Intermediate"
"GrammarlyGO","Learning","365","77.38","0.18","9.92","Intermediate"
"LLaMA","Translation","383","77.36","0.19","12.37","Intermediate"
"Microsoft Copilot","Content Writing","383","77.36","0.19","9.04","Intermediate"
"LangChain","Translation","402","77.36","0.20","9.71","Intermediate"
"Mistral","Research","405","77.34","0.20","9.38","Intermediate"
"Cursor AI","Customer Support","373","77.33","0.19","8.78","Intermediate"
"Notion AI","Learning","376","77.33","0.19","9.19","Intermediate"
"Kensho","Customer Support","358","77.32","0.18","10.29","Intermediate"
"Gemini","Automation","348","77.32","0.17","9.90","Intermediate"
"Qwen","Coding","336","77.31","0.17","8.81","Intermediate"
"Boston Dynamics AI","Content Writing","358","77.29","0.18","9.57","Intermediate"
"ElevenLabs","Customer Support","390","77.29","0.19","7.48","Intermediate"
"TensorFlow","Learning","345","77.28","0.17","9.55","Intermediate"
"Figma AI","Video Creation","350","77.24","0.17","8.46","Intermediate"
"Tesla Optimus","Coding","375","77.24","0.19","10.66","Intermediate"
"Falcon","Research","350","77.23","0.17","9.87","Intermediate"
"Mistral","Customer Support","394","77.23","0.20","10.59","Intermediate"
"Whisper","Research","370","77.22","0.18","10.04","Intermediate"
"Copy.ai","Content Writing","336","77.20","0.17","8.58","Intermediate"
"Hugging Face","Translation","375","77.20","0.19","9.89","Intermediate"
"Devin","Learning","349","77.19","0.17","10.12","Intermediate"
"Codeium","Coding","334","77.15","0.17","10.09","Intermediate"
"Boston Dynamics AI","Design","357","77.14","0.18","6.83","Intermediate"
"AlphaFold","Content Writing","385","77.13","0.19","10.07","Intermediate"
"GPT-5","Customer Support","357","77.13","0.18","9.51","Intermediate"
"Whisper","Learning","362","77.13","0.18","9.03","Intermediate"
"Perplexity AI","Data Analysis","384","77.12","0.19","10.36","Intermediate"
"Hugging Face","Learning","410","77.12","0.20","8.43","Intermediate"
"Tabnine","Marketing","353","77.12","0.18","9.46","Intermediate"
"GitHub Copilot","Research","400","77.11","0.20","8.95","Intermediate"
"Deepgram","Coding","361","77.10","0.18","9.97","Intermediate"
"Power BI Copilot","Research","364","77.10","0.18","8.77","Intermediate"
"Copy.ai","Coding","334","77.09","0.17","8.82","Intermediate"
"LangChain","Coding","383","77.08","0.19","9.80","Intermediate"
"Elicit","Data Analysis","359","77.08","0.18","10.73","Intermediate"
"Hugging Face","Automation","360","77.08","0.18","10.63","Intermediate"
"HeyGen","Research","356","77.07","0.18","9.30","Intermediate"
"ElevenLabs","Translation","382","77.07","0.19","9.59","Intermediate"
"Gemini","Video Creation","376","77.07","0.19","10.11","Intermediate"
"GPT-4","Research","359","77.06","0.18","11.61","Intermediate"
"Copy.ai","Design","351","77.05","0.17","10.34","Intermediate"
"Kensho","Research","400","77.03","0.20","10.53","Intermediate"
"ElevenLabs","Design","382","77.03","0.19","9.41","Intermediate"
"Notion AI","Automation","339","77.02","0.17","8.60","Intermediate"
"TensorFlow","Design","328","77.01","0.16","9.42","Beginner"
"Claude","Marketing","405","77.01","0.20","11.03","Intermediate"
"Falcon","Automation","384","77.00","0.19","8.15","Intermediate"
"DALL-E","Design","361","76.98","0.18","10.14","Intermediate"
"DeepSeek","Data Analysis","418","76.95","0.21","7.94","Expert"
"Codeium","Design","366","76.95","0.18","9.93","Intermediate"
"AutoGPT","Customer Support","376","76.94","0.19","9.01","Intermediate"
"Hugging Face","Content Writing","335","76.93","0.17","8.99","Intermediate"
"GitHub Copilot","Automation","359","76.91","0.18","9.02","Intermediate"
"HeyGen","Content Writing","357","76.90","0.18","9.68","Intermediate"
"Cursor AI","Video Creation","352","76.89","0.17","10.86","Intermediate"
"ElevenLabs","Video Creation","380","76.89","0.19","7.58","Intermediate"
"GPT-4","Marketing","344","76.89","0.17","9.93","Intermediate"
"Claude","Coding","356","76.86","0.18","10.89","Intermediate"
"HeyGen","Design","354","76.84","0.18","9.75","Intermediate"
"Notion AI","Coding","351","76.84","0.17","9.51","Intermediate"
"BloombergGPT","Design","348","76.83","0.17","10.25","Intermediate"
"Codeium","Learning","345","76.81","0.17","9.63","Intermediate"
"Synthesia","Content Writing","361","76.81","0.18","9.13","Intermediate"
"Notion AI","Video Creation","361","76.81","0.18","9.34","Intermediate"
"Claude","Research","356","76.81","0.18","9.06","Intermediate"
"PyTorch","Research","340","76.80","0.17","10.22","Intermediate"
"Perplexity AI","Video Creation","359","76.80","0.18","8.92","Intermediate"
"Copy.ai","Automation","377","76.80","0.19","11.09","Intermediate"
"GPT-4","Coding","363","76.79","0.18","10.40","Intermediate"
"Cursor AI","Content Writing","340","76.77","0.17","8.80","Intermediate"
"GitHub Copilot","Customer Support","335","76.76","0.17","7.98","Intermediate"
"DataRobot","Coding","364","76.75","0.18","8.35","Intermediate"
"Mistral","Learning","377","76.75","0.19","9.44","Intermediate"
"Stable Diffusion","Marketing","372","76.74","0.18","10.33","Intermediate"
"Kensho","Learning","358","76.73","0.18","8.59","Intermediate"
"Hugging Face","Marketing","336","76.70","0.17","8.13","Intermediate"
"Devin","Data Analysis","390","76.70","0.19","8.69","Intermediate"
"AlphaFold","Automation","367","76.68","0.18","9.49","Intermediate"
"BloombergGPT","Customer Support","351","76.67","0.17","9.65","Intermediate"
"DataRobot","Video Creation","390","76.66","0.19","8.85","Intermediate"
"Power BI Copilot","Automation","372","76.65","0.18","10.35","Intermediate"
"Runway ML","Marketing","359","76.61","0.18","8.37","Intermediate"
"ElevenLabs","Automation","370","76.61","0.18","8.99","Intermediate"
"Kensho","Coding","342","76.59","0.17","8.03","Intermediate"
"Qwen","Video Creation","412","76.59","0.20","9.61","Intermediate"
"Synthesia","Customer Support","356","76.57","0.18","8.97","Intermediate"
"Stable Diffusion","Automation","347","76.57","0.17","9.01","Intermediate"
"Grok","Customer Support","352","76.56","0.17","9.70","Intermediate"
"Qwen","Content Writing","342","76.56","0.17","9.26","Intermediate"
"Mistral","Content Writing","365","76.55","0.18","9.24","Intermediate"
"Power BI Copilot","Customer Support","348","76.54","0.17","10.35","Intermediate"
"Cohere","Data Analysis","329","76.53","0.16","8.01","Beginner"
"Cohere","Video Creation","359","76.50","0.18","8.24","Intermediate"
"DataRobot","Customer Support","388","76.46","0.19","9.89","Intermediate"
"Kensho","Video Creation","396","76.44","0.20","10.20","Intermediate"
"PyTorch","Coding","386","76.44","0.19","8.69","Intermediate"
"Duolingo Max","Learning","342","76.44","0.17","9.62","Intermediate"
"Elicit","Research","327","76.43","0.16","8.05","Beginner"
"Cohere","Design","346","76.43","0.17","10.10","Intermediate"
"GitHub Copilot","Content Writing","381","76.43","0.19","8.07","Intermediate"
"Elicit","Marketing","351","76.42","0.17","8.72","Intermediate"
"AlphaFold","Translation","369","76.35","0.18","10.47","Intermediate"
"Stable Diffusion","Translation","349","76.32","0.17","8.82","Intermediate"
"Runway ML","Design","370","76.26","0.18","9.12","Intermediate"
"Elicit","Content Writing","358","76.26","0.18","8.91","Intermediate"
"Figma AI","Content Writing","392","76.26","0.19","9.80","Intermediate"
"PyTorch","Video Creation","366","76.25","0.18","8.89","Intermediate"
"Boston Dynamics AI","Learning","354","76.24","0.17","10.15","Intermediate"
"Deepgram","Design","339","76.22","0.17","10.27","Intermediate"
"DALL-E","Marketing","352","76.20","0.17","10.10","Intermediate"
"Notion AI","Content Writing","359","76.16","0.18","9.04","Intermediate"
"GPT-4","Learning","355","76.15","0.17","8.46","Intermediate"
"Power BI Copilot","Marketing","370","76.15","0.18","8.92","Intermediate"
"Midjourney","Automation","364","76.12","0.18","9.32","Intermediate"
"TensorFlow","Content Writing","403","76.12","0.20","10.37","Intermediate"
"Copy.ai","Video Creation","379","76.12","0.19","10.21","Intermediate"
"Tableau AI","Video Creation","348","76.08","0.17","10.42","Intermediate"
"ElevenLabs","Data Analysis","336","76.08","0.16","10.43","Beginner"
"GrammarlyGO","Coding","321","76.03","0.16","9.42","Beginner"
"GrammarlyGO","Customer Support","360","76.02","0.18","8.33","Intermediate"
"LangChain","Design","346","76.01","0.17","10.26","Intermediate"
"Canva AI","Automation","382","75.99","0.19","9.67","Intermediate"
"AutoGPT","Research","361","75.99","0.18","9.27","Intermediate"
"DeepSeek","Video Creation","393","75.98","0.19","9.53","Intermediate"
"Midjourney","Coding","348","75.98","0.17","8.46","Intermediate"
"Deepgram","Customer Support","356","75.96","0.17","8.14","Intermediate"
